id,cell_id,fold
100107,Carolina chickadee::28.0::1,4
1007702,Carolina chickadee::24.0::0,2
1010608,Carolina chickadee::30.0::1,3
1042812,Carolina chickadee::27.0::0,3
1087458,Carolina chickadee::24.0::0,3
1099414,Carolina chickadee::27.0::0,3
112633,Carolina chickadee::20.0::0,4
135096,Carolina chickadee::30.0::1,2
135127,Carolina chickadee::27.0::0,4
138604,Carolina chickadee::27.0::0,2
141904,Carolina chickadee::29.0::0,3
151418,Carolina chickadee::29.0::0,1
15183,Carolina chickadee::28.0::1,2
172591,Carolina chickadee::27.0::0,1
173459,Carolina chickadee::28.0::1,5
173464,Carolina chickadee::24.0::1,3
173468,Carolina chickadee::20.0::0,1
179084,Carolina chickadee::29.0::1,4
184224,Carolina chickadee::29.0::1,4
18445,Carolina chickadee::28.0::0,5
18446,Carolina chickadee::28.0::0,4
209081,Carolina chickadee::30.0::0,3
211135,Carolina chickadee::21.0::0,2
227270,Carolina chickadee::25.0::1,2
227271,Carolina chickadee::25.0::1,1
232860,Carolina chickadee::24.0::0,4
234671,Carolina chickadee::37.0::0,1
237815,Carolina chickadee::21.0::0,3
254933,Carolina chickadee::21.0::0,4
267591,Carolina chickadee::21.0::0,1
308853,Carolina chickadee::30.0::0,5
309925,Carolina chickadee::27.0::1,2
309927,Carolina chickadee::27.0::0,5
310196,Carolina chickadee::29.0::1,3
322032,Carolina chickadee::29.0::1,3
324879,Carolina chickadee::29.0::1,1
346320,Carolina chickadee::27.0::0,1
358437,Carolina chickadee::31.0::0,4
360934,Carolina chickadee::26.0::0,2
361490,Carolina chickadee::29.0::0,1
362250,Carolina chickadee::31.0::0,1
364473,Carolina chickadee::30.0::0,4
373254,Carolina chickadee::29.0::0,5
385887,Carolina chickadee::30.0::0,1
405038,Carolina chickadee::29.0::0,4
416023,Carolina chickadee::29.0::1,2
416025,Carolina chickadee::30.0::0,2
417997,Carolina chickadee::22.0::0,2
417998,Carolina chickadee::22.0::0,1
